close_time,datetime_utc,realtime_interval,close,bid,ask,mid,cash,btc_qty,btc_value_mid,nav_mid,nav_liq,drawdown_mid,drawdown_liq,exposure,target_exposure,regime,kill_active,crash_cooldown_active,entry_price_avg,note
1635292799999,2021-10-26T23:59:59.999000+00:00,4h,60328.81,60313.727797499996,60343.8922025,60328.81,5706.139939615888,0.26421006999999996,15939.479113116697,21645.619052732585,21641.634182954305,0.07595731659448446,0.0759471015187052,0.7363836106643697,0.7363521600658467,RISK_ON,False,False,53742.169862798415,
1635307199999,2021-10-27T03:59:59.999000+00:00,4h,60714.34,60699.161414999995,60729.518585,60714.34,5706.139939615888,0.26421006999999996,16041.340021403797,21747.479961019686,21743.469626014332,0.07160891580269213,0.07159893928972427,0.7376183378559903,0.7363521600658467,RISK_ON,False,False,53742.169862798415,
1635321599999,2021-10-27T07:59:59.999000+00:00,4h,59949.93,59934.9425175,59964.91748250001,59949.93,5706.139939615888,0.26421006999999996,15839.375201795097,21545.515141410986,21541.555297610535,0.08023071189963371,0.08022026237600899,0.7351588067324251,0.7363521600658467,RISK_ON,False,False,53742.169862798415,
1635335999999,2021-10-27T11:59:59.999000+00:00,4h,58564.0,58549.359000000004,58578.641,58564.0,5706.139939615888,0.26421006999999996,15473.198539479998,21179.338479095884,21175.470179461016,0.09586264484744222,0.0958513377216672,0.7305798788169009,0.7363521600658467,RISK_ON,False,False,53742.169862798415,
1635350399999,2021-10-27T15:59:59.999000+00:00,4h,58819.14,58804.435215,58833.844785,58819.14,5706.139939615888,0.26421006999999996,15540.609096739798,21246.749036355686,21242.8638840815,0.0929849155448772,0.09297376629764786,0.731434680672699,0.7363521600658467,RISK_ON,False,False,53742.169862798415,
1635364799999,2021-10-27T19:59:59.999000+00:00,4h,59062.32,59047.55442,59077.085580000006,59062.32,5706.139939615888,0.26421006999999996,15604.859701562398,21310.999641178285,21307.098426252895,0.09024208332806394,0.09023108455862983,0.7322443791613524,0.7363521600658467,RISK_ON,False,False,53742.169862798415,
1635379199999,2021-10-27T23:59:59.999000+00:00,4h,58413.44,58398.83664,58428.04336000001,58413.44,5706.139939615888,0.26421006999999996,15433.419071340799,21139.559010956687,21135.700656188852,0.0975608141811184,0.09754941389004679,0.730072896191525,0.738593652005497,RISK_ON,False,False,53742.169862798415,
1635393599999,2021-10-28T03:59:59.999000+00:00,4h,58839.8,58825.090050000006,58854.50995000001,58839.8,5706.139939615888,0.26421006999999996,15546.067676785999,21252.207616401887,21248.32109948269,0.09275189098035963,0.0927407545173693,0.7315036610496859,0.738593652005497,RISK_ON,False,False,53742.169862798415,
1635407999999,2021-10-28T07:59:59.999000+00:00,4h,58993.71,58978.961572500004,59008.4584275,58993.71,5706.139939615888,0.26421006999999996,15586.732248659697,21292.872188275585,21288.97550521342,0.09101593692784826,0.09100489570310721,0.7320164283539992,0.738593652005497,RISK_ON,False,False,53742.169862798415,
1635422399999,2021-10-28T11:59:59.999000+00:00,4h,60960.61,60945.369847500006,60975.8501525,60960.61,5706.139939615888,0.26421006999999996,16106.407035342698,21812.546974958586,21808.52037319975,0.06883123141238612,0.06882140728928021,0.7384010245953077,0.738593652005497,RISK_ON,False,False,53742.169862798415,
