feature,h,folds,mean_test_ic,med_test_ic,mean_test_edge,mean_test_net_trade_edge,weighted_test_mean,weighted_test_base,weighted_test_edge,weighted_test_net_trade_edge,mean_freq,total_count,fold_positive_edge_frac,channel
d1_ret_20,1,4,0.004361036273458051,0.005580778756265489,0.0005977916060056965,-0.0010997743520123559,0.0009017957330487306,0.0005676096142385927,0.0003341861188101379,-0.0010982042669512694,0.1833694781622825,1608,1.0,price_trend_pullback
dow,3,4,-0.009925758714024999,-0.018506790218257824,-2.986726457579697e-05,-0.0011318029864611544,0.0008681970135388456,0.0008980642781146427,-2.9867264575796917e-05,-0.0011318029864611546,0.2847692451711548,2496,0.5,seasonality
h4_ret_48,1,4,-0.003995278221448489,-0.0008389900734023203,0.00011815276801787256,-0.0015794131900001796,0.0008636377232211849,0.0004641676198861401,0.0003994701033350448,-0.001136362276778815,0.17850500826910476,1565,0.75,price_trend_pullback
h4_draw_12,3,4,0.022498152255629247,0.02114879103586619,-2.5972566581983724e-05,-0.0011279082884673411,0.0008574768332099482,0.0008424232607561345,1.5053572453813742e-05,-0.001142523166790052,0.1990955991720494,1745,0.5,price_trend_pullback
h4_tbuyz_6,3,4,0.014122979229525628,0.016809256913581767,-3.18979348800375e-05,-0.001133833656765395,0.0008490910920066842,0.0009019921409685879,-5.290104896190359e-05,-0.0011509089079933157,0.2017131088713452,1768,0.5,flow_volume
d1_ret_5,1,4,-0.00428081024709793,-0.005703590995089594,0.00044029814103595266,-0.0012572678169820997,0.0008316971230120349,0.0004380618476809725,0.0003936352753310624,-0.001168302876987965,0.18135992968660614,1590,0.75,price_trend_pullback
d1_trendvol_5,1,4,-0.013424035150219159,-0.012777683629149958,0.0003855379826698454,-0.0013120279753482068,0.0008309109978090623,0.00041538511172669164,0.0004155258860823708,-0.0011690890021909376,0.16894041043883465,1481,1.0,price_trend_pullback
h4_tbuyz_6,1,4,0.04225986763920392,0.044698217889791086,0.0004924455204364552,-0.001205120437581597,0.0007896846467789144,0.00030396971513192456,0.00048571493164698996,-0.0012103153532210854,0.2017131088713452,1768,1.0,flow_volume
h4_ret_36,1,4,-0.0020968315062657996,0.0013719035487879388,0.0006609671837094239,-0.0010365987743086284,0.0007877519105346493,0.00024601151014191306,0.0005417404003927363,-0.0012122480894653507,0.22577334331866739,1979,0.75,price_trend_pullback
h4_trendvol_48,1,4,-0.005583235620249893,-0.000800836348657295,0.00021892382834414302,-0.0014786421296739093,0.0007805434519962878,0.00045449554281365076,0.0003260479091826371,-0.0012194565480037123,0.19081557296054755,1673,0.75,price_trend_pullback
close_loc,3,4,0.02491296303434746,0.020198052717987077,-0.0001368717856586198,-0.001238807507543977,0.0007675263529105322,0.0008622783866507999,-9.475203374026766e-05,-0.001232473647089468,0.2227140345950219,1952,0.5,bar_shape
d1_ret_10,1,4,0.000456581288760699,0.0027917685005545275,1.3215257967770858e-06,-0.0016962444322212752,0.0007568968741630807,0.0004882657504225914,0.0002686311237404893,-0.0012431031258369194,0.1833960017058279,1608,0.5,price_trend_pullback
x_trend_align_24_10,3,4,-0.0026102154417627674,0.006204980388323398,-0.00022197380610311946,-0.001323909527988477,0.0007500116059296948,0.0009487224881710569,-0.00019871088224136186,-0.001249988394070305,0.6813409471505394,5972,0.5,cross_tf
h4_vol_6,1,4,0.020530755676975904,0.01997000147611403,0.0007013575375682175,-0.0009962084204498348,0.0007418821349390366,0.000330610046732871,0.00041127208820616575,-0.0012581178650609636,0.18940904504841846,1660,0.75,volatility_range
d1_draw_20,1,4,-0.009120893055853844,-0.007583425670333783,0.0002853133146212449,-0.0014122526433968073,0.0007418038599347657,0.0004243208126781527,0.00031748304725661287,-0.0012581961400652344,0.22106411416565253,1938,1.0,price_trend_pullback
d1_pullback_20,1,4,-0.009120893055853844,-0.007583425670333783,0.0002853133146212449,-0.0014122526433968073,0.0007418038599347657,0.0004243208126781527,0.00031748304725661287,-0.0012581961400652344,0.22106411416565253,1938,1.0,price_trend_pullback
x_h4_pull_d1trend,3,4,0.004517570280554025,0.019767669230670505,-0.00048125273671147643,-0.0015831884585968338,0.0007415041753600281,0.0010789618177107208,-0.0003374576423506929,-0.001258495824639972,0.26410064384601784,2315,0.25,cross_tf
h4_draw_6,3,4,0.03565750494851053,0.03772214872527641,0.00010978979454982015,-0.0009921459273355374,0.0007365298327569628,0.0007880586989510338,-5.152886619407131e-05,-0.0012634701672430374,0.2071998418988777,1816,0.5,price_trend_pullback
h4_dist_low_24,6,4,0.0021959323148390743,0.007689741188471747,-0.0010530415150880454,-0.0012183290363446022,0.0007246314338280854,0.001469673052521426,-0.0007450416186933406,-0.0012753685661719143,0.2959171945371902,2593,0.0,price_trend_pullback
h4_rng_6,1,4,0.02362095211664745,0.02558798913522349,0.0010664225447394732,-0.0006311434132785791,0.0007221895744367776,0.0003392700215704168,0.00038291955286636083,-0.0012778104255632226,0.1965935448975983,1723,0.75,volatility_range
h4_ret_6,1,4,0.05681500444316807,0.05592390231931156,0.00032213371911016573,-0.0013754322389078867,0.0006942940980474052,0.0002560635103233503,0.0004382305877240548,-0.001305705901952595,0.20435064124567043,1791,0.75,price_trend_pullback
d1_ret_2,1,4,0.006606269144568971,0.002389358657706148,0.0003535504600457184,-0.001344015497972334,0.0006598431150425263,0.00028034313024703056,0.00037949998479549563,-0.001340156884957474,0.2177848160514245,1909,0.75,price_trend_pullback
d1_close_loc,6,4,0.014642486039746855,0.006458919713299337,-0.0005504014267599161,-0.0007156889480164732,0.0006538719771236761,0.0010523886498366012,-0.0003985166727129251,-0.001346128022876324,0.24431772084750525,2141,0.25,bar_shape
h4_trendvol_12,1,4,0.018448052404410595,0.015426170538992295,0.0003718826990461418,-0.0013256832589719106,0.0006463666127572826,0.000271092545324185,0.00037527406743309756,-0.0013536333872427176,0.23707471318168108,2078,0.5,price_trend_pullback
h4_dist_low_24,3,4,-0.004449315147330191,0.006367570525574427,-8.806758287556863e-05,-0.001190003304760926,0.0006216204036417211,0.0008095377009153995,-0.00018791729727367858,-0.0013783795963582788,0.3151654861089442,2762,0.25,price_trend_pullback
h4_rng_24,1,4,0.01880290726768924,0.024563373817500372,0.001046296834973015,-0.0006512691230450375,0.0006207404983515024,0.00036703721527291756,0.00025370328307858486,-0.0013792595016484976,0.20217493057072425,1772,0.75,volatility_range
h4_vol_24,1,4,-0.0010806271306138633,0.002470502661113908,0.0009188899658454659,-0.0007786759921725862,0.0006173631020042322,0.0003199263810941926,0.0002974367209100396,-0.0013826368979957678,0.1945590330868204,1705,0.75,volatility_range
x_exhaustion,1,4,-0.012681926386936871,-0.013134674259325761,0.0001515205697559695,-0.0015460453882620829,0.0005934640238877042,0.00044445492068485886,0.00014900910320284538,-0.0014065359761122958,0.1675536451669943,1469,0.5,volatility_range
h4_trendvol_24,3,4,-0.013336783390000499,-0.008511642620101498,-3.857410757782478e-05,-0.0011405098294631822,0.0005868260512546912,0.000794082811702312,-0.0002072567604476208,-0.001413173948745309,0.2300951207081266,2017,0.5,price_trend_pullback
