signal,rule_type,fold,direction,threshold,sharpe,cagr,mdd,trades,oos_sharpe,oos_cagr,oos_mdd,oos_trades
ema12_vol_surprise_quote_28,fixed_natural,3,ge,1.0,1.0265818147155532,0.30724015944009686,-0.19862969678644782,32,,,,
ema12_vol_surprise_quote_28,fixed_natural,4,ge,1.0,-0.012520946894293948,-0.017648854377042,-0.1714323068078628,15,,,,
ema12_vol_surprise_quote_28,train_threshold,1,le,1.083924730755,1.785025593712809,1.054311152074444,-0.3632669727344947,81,0.33078213239833076,0.05635716888117126,-0.32422354982136703,32.0
ema12_vol_surprise_quote_28,train_threshold,2,le,1.084650065478,1.3624277911753928,0.6268300680212919,-0.3763624499944155,113,1.9455064797769892,0.8067410371842945,-0.2213238239194959,45.0
ema12_vol_surprise_quote_28,train_threshold,3,le,1.088192453676,1.5248307236088101,0.7032919521675383,-0.3763624499944155,158,1.6742337594477148,0.5723860064361579,-0.18368767570636946,28.0
ema12_vol_surprise_quote_28,train_threshold,4,le,1.090844607893,1.5012438293707548,0.663559411099488,-0.3523138716325973,188,-0.5298858311542309,-0.09632758987257639,-0.1846159859237575,14.0
ema28_vol_surprise_quote_28,fixed_natural,1,ge,1.0,0.09210386903943699,-0.024999218513394816,-0.48944950930902087,37,,,,
ema28_vol_surprise_quote_28,fixed_natural,2,ge,1.0,1.2682898247653656,0.44622933899108164,-0.3076221626913822,48,,,,
ema28_vol_surprise_quote_28,fixed_natural,3,ge,1.0,0.7370911025747043,0.19467958613112013,-0.22084935135975592,32,,,,
ema28_vol_surprise_quote_28,fixed_natural,4,ge,1.0,0.10640785617365875,0.0034097984024412664,-0.1413780165656262,15,,,,
ema28_vol_surprise_quote_28,train_threshold,1,le,1.152138928138,1.8483826275174597,1.145493106149754,-0.3714684525500561,89,-0.12737543268292667,-0.09858511168063167,-0.48657170166588426,39.0
ema28_vol_surprise_quote_28,train_threshold,2,le,0.954603949649,1.4223061775842427,0.5738350154333314,-0.43758614553678543,84,1.6393487375300553,0.5820289483488952,-0.2349771253797729,39.0
ema28_vol_surprise_quote_28,train_threshold,3,le,0.949872457657,1.431859028317272,0.5567072889541778,-0.4375861455367859,123,1.3014277449763767,0.3637688539600401,-0.2110473898499201,24.0
ema28_vol_surprise_quote_28,train_threshold,4,le,1.086059786339,1.3827216290875355,0.5855878328669673,-0.39013161676466235,195,-0.34568443373870866,-0.0651765689690349,-0.17110968129043114,13.0
osc_12_28_vol_surprise_quote_28,fixed_natural,1,ge,0.0,-0.10121990841893036,-0.08845639811442518,-0.4581759450409172,38,,,,
osc_12_28_vol_surprise_quote_28,fixed_natural,2,ge,0.0,1.2737653854325164,0.4597898935317939,-0.3212656532313304,52,,,,
osc_12_28_vol_surprise_quote_28,fixed_natural,3,ge,0.0,1.0067884210033702,0.3059714173040935,-0.19753379799429216,34,,,,
osc_12_28_vol_surprise_quote_28,fixed_natural,4,ge,0.0,-0.4075925096640927,-0.08459246034080448,-0.18182333322699995,16,,,,
osc_12_28_vol_surprise_quote_28,train_threshold,1,le,-0.004359242778,1.8972223570053102,1.1911705286118757,-0.3337115317158912,78,0.42705523213428287,0.09006422916753376,-0.30972429084019937,30.0
osc_12_28_vol_surprise_quote_28,train_threshold,2,le,0.010334998307,1.4800120837162942,0.7226380540418047,-0.3263735499310034,111,1.5030546492868742,0.540321699475026,-0.23822532041395506,41.0
osc_12_28_vol_surprise_quote_28,train_threshold,3,ge,0.194875316123,1.5131602159622954,0.49400096430165963,-0.28557225800754826,72,0.4934366163184315,0.09424373621920079,-0.20698522100301908,21.0
osc_12_28_vol_surprise_quote_28,train_threshold,4,le,0.001488173308,1.459222584653377,0.6355129642729986,-0.3263735499310034,176,-0.583038215804792,-0.10369273998829298,-0.174733669400708,14.0
pos_count4_vol_surprise_quote_28,train_threshold,1,le,2.0,1.7307765682636866,1.0668675714007003,-0.36282941483417297,90,0.18440251641377836,0.005632440871711442,-0.40004934451108576,32.0
pos_count4_vol_surprise_quote_28,train_threshold,2,le,1.0,1.3930013751344807,0.6527842164779123,-0.34431461574653255,109,1.8253861760935914,0.732775010806602,-0.2137873347838697,42.0
pos_count4_vol_surprise_quote_28,train_threshold,3,le,1.0,1.4761216841174927,0.6727567512569803,-0.34431461574653255,151,1.4948829725416215,0.48696117454895194,-0.1823390467163456,28.0
pos_count4_vol_surprise_quote_28,train_threshold,4,le,1.0,1.4708746139463595,0.6443136515900634,-0.34431461574653255,179,-0.203291006056289,-0.04677702045460619,-0.16390722072824104,14.0
vdo,fixed_natural,1,ge,0.0,0.606679459597133,0.1565414550920552,-0.3648484810818692,31,,,,
vdo,fixed_natural,2,ge,0.0,1.5375055975163145,0.5856032823972903,-0.30918733110768204,47,,,,
vdo,fixed_natural,3,ge,0.0,1.818573333257709,0.6554226646434065,-0.13236946834247343,28,,,,
vdo,fixed_natural,4,ge,0.0,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,,,,
vdo,train_threshold,1,ge,-0.000649018469,1.9584958921113707,1.2057339005805106,-0.38861559449066785,75,0.6857024856819702,0.18738930081255267,-0.3392225305551142,31.0
vdo,train_threshold,2,ge,0.000621295806,1.5899838954708667,0.7753069190807886,-0.37047495985587087,104,1.5487440009129958,0.5838704704718456,-0.273148715227552,44.0
vdo,train_threshold,3,ge,-0.003391021938,1.5996014899254334,0.7693527234111592,-0.37383379849290943,162,1.5096489168219203,0.5207780873817736,-0.1769552305540294,30.0
vdo,train_threshold,4,ge,0.000715310549,1.589883263418556,0.7085230786451386,-0.3648903991620457,175,-0.015358273935411407,-0.015559249854089297,-0.12413447267125055,12.0
