fold,direction,threshold,sharpe,cagr,mdd,end_equity,bar_count,oos_trades,oos_cont_decisions,signal,measurement,operator,role,rule_type
3,ge,0.0,1.8009903338888673,0.6483972202005108,-0.13236946834247332,16474.576357088867,2190,28,3,ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,fixed_natural
4,ge,0.0,0.16606607662751888,0.013890490068299455,-0.10838399637694351,10092.136083583608,1458,11,1,ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,fixed_natural
1,ge,-0.03636486549481588,-0.13198665028803347,-0.09856027390880606,-0.5103630517904045,8556.315776010266,3294,27,17,ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,train_threshold
2,never,,1.5375055975163145,0.5856032823972903,-0.30918733110768204,19939.803028168015,3282,47,0,ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,train_threshold
3,ge,0.006473031684231157,1.8057887589119495,0.6491322442767122,-0.13236946834247332,16481.914026192982,2190,28,1,ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,train_threshold
4,never,,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,9889.008977112977,1458,12,0,ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,train_threshold
1,ge,0.0,0.6598100501397193,0.17533956125673522,-0.33904929057708355,12747.620458361576,3294,29,3,ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,fixed_natural
2,ge,0.0,1.6277626984541063,0.6449311695064242,-0.3063877217537724,21067.119432065196,3282,47,7,ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,fixed_natural
3,ge,0.0,1.8346398295647057,0.6604642713234374,-0.13236946834247354,16595.04000551995,2190,28,3,ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,fixed_natural
4,ge,0.0,0.11073171709498987,0.004781924615238298,-0.11214364252595233,10031.766793456607,1458,11,1,ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,fixed_natural
1,ge,-0.00497988110692633,0.6676682666953675,0.17862039817759956,-0.3362750441677922,12801.12677854466,3294,28,5,ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,train_threshold
2,ge,-0.005304301510241529,1.6889362813242708,0.6796480628867485,-0.2780636982622211,21736.275690662857,3282,47,9,ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,train_threshold
3,ge,-0.009365720359749273,1.8056962837439274,0.6499514324787654,-0.13236946834247354,16490.09189263863,2190,28,3,ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,train_threshold
4,ge,-0.005523705767998407,0.11073171709498987,0.004781924615238298,-0.11214364252595233,10031.766793456607,1458,11,1,ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,train_threshold
1,ge,0.0,0.41383106018334737,0.08579663517583236,-0.3968248611284806,11316.614792754677,3294,28,6,ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,fixed_natural
2,ge,0.0,1.6113461893579692,0.653789205014319,-0.2780636982622211,21237.194254892904,3282,47,8,ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,fixed_natural
