entry_bar_idx,entry_fill_bar_idx,entry_ts_ms,exit_ts_ms,entry_fill_price,exit_fill_price,qty,return_pct,pnl_usd
15462,15463,1737432000000,1737936000000,103038.971744,102517.415645,2.97550942,-0.506174,-2009.457389
15508,15509,1738094400000,1738440000000,102526.689846,101567.955817,2.96632791,-0.935107,-3295.845304
15852,15853,1743048000000,1743177600000,87757.862088,83967.119863,3.42284278,-4.319547,-13406.224026
15964,15965,1744660800000,1746403200000,85008.014301,94183.355959,3.37080362,10.793502,30452.064503
16091,16092,1746489600000,1747656000000,94828.437363,102860.462341,3.33784476,8.470059,26294.654132
16173,16174,1747670400000,1748044800000,104891.232617,107211.008530,3.26341671,2.211601,7045.584189
16204,16205,1748116800000,1748548800000,109068.987240,105626.034693,3.19821569,-3.156674,-11518.027126
16240,16241,1748635200000,1749139200000,104745.156650,104426.994633,3.21545097,-0.303749,-1526.704186
16295,16296,1749427200000,1749729600000,105839.770444,106794.075775,3.16302698,0.901651,2511.804699
16344,16345,1750132800000,1750233600000,107698.027308,104868.293003,3.12708312,-2.627471,-9340.712186
16398,16399,1750910400000,1751385600000,107961.670753,105849.261299,3.02838540,-1.956629,-6878.018476
16440,16441,1751515200000,1752552000000,108736.855357,117031.340827,2.93913356,7.628035,23862.644456
16513,16514,1752566400000,1753416000000,116895.938325,115304.259205,2.93372361,-1.361621,-5176.952854
16584,16585,1753588800000,1754006400000,118301.042376,115648.334871,2.85084162,-2.242337,-8056.991582
16665,16666,1754755200000,1755000000000,117009.401703,118403.727411,2.80923992,1.191636,3418.058721
16683,16684,1755014400000,1755187200000,120052.962983,118139.032304,2.76234830,-1.594239,-5776.454899
16860,16861,1757563200000,1758470400000,114514.438610,115416.117263,2.84124520,0.787393,2070.001907
16983,16984,1759334400000,1759852800000,117541.183086,121724.194452,2.78152029,3.558762,11127.263509
17024,17025,1759924800000,1760112000000,123007.054861,118900.000765,2.74426620,-3.338877,-11760.289615
17140,17141,1761595200000,1761768000000,115057.611376,110529.387660,2.82741694,-3.935614,-13271.945440
17544,17545,1767412800000,1767801600000,90411.573810,91258.622887,3.44620181,0.936881,2447.358616
17579,17580,1767916800000,1768780800000,91191.122775,93579.490278,3.43842194,2.619079,7729.566573
17642,17643,1768824000000,1768939200000,93285.175258,89636.066661,3.43893786,-3.911778,-13011.437016
